battle_id,player_1_deck,player_1_elixir,player_1_trophies,player_1_crowns,player_2_deck,player_2_elixir,player_2_trophies,player_2_crowns,winner,battle_duration_sec,game_mode,trophy_difference,battle_intensity,match_type
23,Mega Knight|Flying Machine|Hog Rider|Cannon Cart|Inferno Tower|Balloon|Rascals|Zap,4.56,5160,3,X-Bow|Cannon|Goblin Gang|Mortar|Graveyard|Tombstone|Wall Breakers|Skeleton Army,3.62,6312,1,player_1,245,Tournament,1152,4,Heavy Mismatch
24,Mini PEKKA|Wizard|Tornado|Dark Prince|Battle Healer|Skeleton Army|Royal Giant|Mother Witch,4.12,6282,2,Mighty Miner|Prince|Goblin Cage|Fire Spirit|Wall Breakers|Rascals|Mortar|Minions,3.62,6047,0,player_1,116,Ladder,235,2,Slight Mismatch
25,Lava Hound|Wizard|Mighty Miner|Mega Minion|Royal Giant|Goblin Gang|Royal Ghost|The Log,4.12,5545,0,Royal Champion|X-Bow|Elite Barbarians|Mortar|Ram Rider|Graveyard|Royal Delivery|Bomber,4.88,2080,3,player_2,168,Ladder,3465,3,Heavy Mismatch
26,Mother Witch|Graveyard|Phoenix|Bomber|Mortar|Zap|Mega Knight|Skeletons,3.75,3878,3,Mother Witch|Cannon Cart|The Log|Bomb Tower|Witch|Sparky|Minion Horde|Goblinstein,4.5,3894,3,draw,276,Friendly,16,6,Balanced
27,Lumberjack|Giant|Wall Breakers|Tornado|Night Witch|Bomb Tower|Tesla|Bomber,3.62,6214,3,Goblin Barrel|Rocket|Witch|Fire Spirit|Giant Skeleton|Bandit|Executioner|Goblin Hut,4.38,5195,1,player_1,254,Tournament,1019,4,Heavy Mismatch
28,Goblin Hut|Royal Giant|Wizard|Firecracker|Tesla|Valkyrie|Ice Golem|Ice Spirit,3.75,5756,1,Mortar|Lava Hound|Hog Rider|Magic Archer|X-Bow|Clone|Giant|Earthquake,4.5,3364,0,player_1,120,Tournament,2392,1,Heavy Mismatch
29,Goblins|Cannon Cart|Skeleton Barrel|Heal Spirit|Goblinstein|Knight|Skeletons|Electro Wizard,3.0,4818,2,Little Prince|Monk|Mega Minion|Baby Dragon|Magic Archer|Mortar|Fire Spirit|Royal Recruits,4.0,3532,3,player_2,103,Friendly,1286,5,Heavy Mismatch
30,Lightning|Rocket|Flying Machine|Goblin Gang|Princess|Bomber|Firecracker|Wall Breakers,3.78,3402,0,Cannon|Prince|Royal Ghost|The Log|Witch|Musketeer|Spear Goblins|Royal Recruits,3.88,5128,3,player_2,190,Ladder,1726,3,Heavy Mismatch
31,Archer Queen|Goblinstein|Flying Machine|Lightning|Archers|Bandit|Ice Golem|Prince,4.11,2201,0,Night Witch|Mother Witch|Clone|Bandit|Three Musketeers|Flying Machine|Lumberjack|Elixir Golem,4.22,6685,3,player_2,98,Tournament,4484,3,Heavy Mismatch
32,Arrows|Goblins|Royal Hogs|Freeze|Elite Barbarians|Bowler|Zap|Barbarians,4.0,4000,1,Lightning|Knight|Inferno Dragon|Rascals|Tesla|Goblin Cage|Skeleton Barrel|Mega Knight,4.5,2950,1,draw,97,Ladder,1050,2,Heavy Mismatch
33,Baby Dragon|Wall Breakers|Tesla|Arrows|Lightning|Ram Rider|Lumberjack|Furnace,4.0,6739,0,Mother Witch|Giant Skeleton|Royal Ghost|Elixir Golem|Minion Horde|Tombstone|Mirror|Ice Golem,3.38,6592,3,player_2,141,Friendly,147,3,Slight Mismatch
34,Archers|Ram Rider|Princess|Tombstone|Inferno Dragon|X-Bow|Fire Spirit|Spear Goblins,3.5,3713,2,Skeleton King|Cannon|Rascals|Royal Ghost|Giant Skeleton|Mirror|Balloon|Ram Rider,4.0,6618,3,player_2,163,Tournament,2905,5,Heavy Mismatch
35,Executioner|Mirror|Goblins|Goblin Barrel|Graveyard|Royal Hogs|Inferno Tower|Goblin Hut,3.88,2770,3,PEKKA|Royal Champion|Freeze|Little Prince|Executioner|Lumberjack|Mother Witch|Rocket,5.0,6379,1,player_1,287,Friendly,3609,4,Heavy Mismatch
36,Royal Giant|Cannon|Inferno Dragon|Executioner|Rascals|Ram Rider|Archers|PEKKA,4.75,6511,1,Royal Hogs|Minion Horde|Three Musketeers|Magic Archer|Giant Skeleton|Royal Ghost|The Log|Inferno Dragon,4.75,3077,2,player_2,102,Challenge,3434,3,Heavy Mismatch
37,Valkyrie|Elixir Golem|Princess|Fisherman|Firecracker|Minions|Electro Wizard|Miner,3.25,2686,2,Mini PEKKA|Bomber|The Log|Inferno Dragon|Bandit|Hog Rider|Miner|Zap,3.12,4655,2,draw,180,Friendly,1969,4,Heavy Mismatch
38,Monk|Wall Breakers|Fisherman|Skeletons|Electro Wizard|Cannon Cart|Battle Ram|Mini PEKKA,3.5,4463,3,Ice Golem|X-Bow|Skeleton Army|Bowler|Goblin Barrel|Monk|Rascals|Goblin Gang,4.0,3027,3,draw,253,Friendly,1436,6,Heavy Mismatch
39,Poison|Cannon Cart|Bandit|Bomber|Fire Spirit|Giant|PEKKA|Magic Archer,4.12,3490,0,Goblins|Bomber|Zap|Archer Queen|Elixir Collector|PEKKA|Tesla|Minion Horde,4.25,3107,3,player_2,293,Friendly,383,3,Slight Mismatch
40,Hunter|Balloon|Ice Wizard|Wall Breakers|X-Bow|Mega Knight|Furnace|Mighty Miner,4.38,6337,1,Monk|Bandit|Firecracker|Wall Breakers|Poison|Phoenix|Knight|Heal Spirit,3.12,5133,3,player_2,73,Tournament,1204,4,Heavy Mismatch
41,Bomb Tower|Lightning|Night Witch|Royal Champion|Ram Rider|Three Musketeers|Royal Ghost|Executioner,5.38,2361,3,Mirror|Royal Hogs|Mighty Miner|Fisherman|Battle Healer|Giant Skeleton|Sparky|Executioner,4.25,2455,3,draw,212,Friendly,94,6,Balanced
42,Lumberjack|Battle Ram|Poison|Royal Delivery|Tornado|Magic Archer|Mega Minion|Knight,3.5,3110,2,Fire Spirit|Sparky|Ram Rider|Electro Wizard|Rascals|Poison|Goblin Hut|Ice Spirit,4.0,5613,2,draw,88,Friendly,2503,4,Heavy Mismatch
43,Rocket|Poison|Heal Spirit|Tesla|Royal Hogs|PEKKA|Royal Champion|Bandit,4.62,6326,0,Phoenix|Wall Breakers|Heal Spirit|Rascals|Cannon|Royal Ghost|Skeleton King|Ice Golem,3.0,2890,2,player_2,172,Challenge,3436,2,Heavy Mismatch
44,Elite Barbarians|Bandit|Bowler|Witch|Hog Rider|Skeleton Barrel|Skeleton Army|Firecracker,4.0,4709,0,Night Witch|Arrows|Mighty Miner|Sparky|Archers|Dark Prince|Elixir Collector|Tornado,4.12,5476,3,player_2,177,Tournament,767,3,Heavy Mismatch
45,Elite Barbarians|Night Witch|Fireball|Royal Champion|Mirror|Royal Recruits|PEKKA|Wall Breakers,4.75,4930,1,Minion Horde|PEKKA|Goblins|Mother Witch|Earthquake|Goblin Barrel|Knight|Bomb Tower,3.88,2146,1,draw,271,Challenge,2784,2,Heavy Mismatch
46,Rascals|Three Musketeers|Lava Hound|Arrows|Executioner|Elite Barbarians|Bomber|Royal Ghost,5.12,3645,3,Mega Minion|X-Bow|Clone|Miner|Ram Rider|Goblin Barrel|PEKKA|Witch,4.38,4847,0,player_1,221,Friendly,1202,3,Heavy Mismatch
47,Battle Healer|Royal Hogs|Skeleton King|Miner|Ram Rider|Heal Spirit|Fireball|Poison,3.75,5498,0,Hunter|Lightning|Mortar|Rascals|Little Prince|Princess|Fire Spirit|Goblin Hut,4.0,5368,0,draw,166,Tournament,130,0,Slight Mismatch
48,Earthquake|Skeleton King|Giant|Rocket|Spear Goblins|Rascals|Tesla|Flying Machine,4.11,4775,1,Phoenix|Royal Ghost|Ram Rider|Dark Prince|Executioner|Zappies|Goblin Hut|Furnace,4.25,6105,0,player_1,268,Challenge,1330,1,Heavy Mismatch
49,Bowler|Goblinstein|Rocket|Tombstone|Princess|Witch|Skeleton Barrel|Fireball,4.25,5485,0,Baby Dragon|Minion Horde|Dark Prince|Mega Minion|Goblin Gang|Ice Golem|Elixir Golem|Giant Skeleton,3.75,6175,0,draw,283,Friendly,690,0,Heavy Mismatch
50,Goblin Hut|Goblins|Heal Spirit|Mega Knight|Mortar|Inferno Dragon|Barbarians|Goblin Barrel,3.88,5776,2,Lava Hound|Poison|Minion Horde|Mini PEKKA|Royal Delivery|Goblin Hut|Ice Spirit|Bomber,4.0,2463,2,draw,236,Ladder,3313,4,Heavy Mismatch
51,Prince|Inferno Dragon|Tesla|Tombstone|Goblin Cage|Night Witch|Goblinstein|Valkyrie,4.12,6783,1,Skeleton Army|Tesla|Hunter|Lava Hound|Wizard|Mortar|Royal Ghost|Miner,4.12,3280,0,player_1,235,Challenge,3503,1,Heavy Mismatch
52,X-Bow|Archer Queen|Goblin Hut|Zappies|Furnace|Elixir Golem|Balloon|Minion Horde,4.62,4347,3,Witch|Giant Skeleton|Tesla|Archer Queen|Freeze|Inferno Dragon|Flying Machine|Wizard,4.56,4871,2,player_1,122,Tournament,524,5,Heavy Mismatch
53,Elixir Collector|Earthquake|Miner|Goblins|Fire Spirit|Witch|Cannon|Battle Healer,3.5,2560,1,Monk|Inferno Dragon|Dark Prince|Lumberjack|Musketeer|Ram Rider|Archer Queen|Skeleton King,4.38,6554,2,player_2,158,Challenge,3994,3,Heavy Mismatch
54,Rascals|Musketeer|Dark Prince|Royal Giant|Battle Healer|Goblin Hut|Giant|Balloon,4.75,3624,1,Zappies|Mighty Miner|Fireball|Inferno Tower|Skeleton King|Royal Hogs|Ice Wizard|Archer Queen,4.25,2193,1,draw,135,Challenge,1431,2,Heavy Mismatch
55,Elixir Golem|Goblins|Inferno Tower|Archers|Arrows|PEKKA|Elixir Collector|Knight,4.0,4857,2,Freeze|Mega Knight|Tornado|Royal Ghost|Mother Witch|Fire Spirit|Minions|Goblins,3.5,2385,0,player_1,266,Challenge,2472,2,Heavy Mismatch
56,Tombstone|Mirror|Fireball|Zappies|Hog Rider|Elixir Golem|Skeleton Army|Lightning,3.5,4169,2,Arrows|Archers|Tornado|Battle Healer|Mega Minion|Wall Breakers|Royal Ghost|Ice Golem,2.88,4314,3,player_2,187,Ladder,145,5,Slight Mismatch
57,Goblin Hut|Elite Barbarians|Bowler|Mini PEKKA|Bomber|Ice Golem|Little Prince|Prince,4.12,5612,3,Princess|Minions|Hog Rider|Three Musketeers|Ice Wizard|Goblin Barrel|Ice Golem|Elite Barbarians,4.12,6575,1,player_1,130,Tournament,963,4,Heavy Mismatch
58,Tesla|Hog Rider|Elixir Collector|Fire Spirit|Bandit|Heal Spirit|Magic Archer|Skeleton Barrel,3.38,4773,2,Cannon|Wall Breakers|Flying Machine|Zappies|Ice Golem|Graveyard|Zap|Elixir Golem,3.22,2237,1,player_1,277,Tournament,2536,3,Heavy Mismatch
59,Battle Ram|Royal Recruits|Bomber|Freeze|Goblin Hut|Elixir Golem|The Log|Goblins,3.75,4404,1,Earthquake|Rocket|Hunter|Hog Rider|Poison|Mega Minion|Musketeer|Bomb Tower,4.0,4449,1,draw,187,Tournament,45,2,Balanced
60,Valkyrie|Fireball|Ice Wizard|Firecracker|Archers|Tornado|Goblin Hut|Dark Prince,3.62,6177,2,Minion Horde|Little Prince|Rascals|Earthquake|Goblin Hut|Flying Machine|Cannon Cart|Royal Delivery,4.11,2219,2,draw,229,Friendly,3958,4,Heavy Mismatch
61,Miner|Lumberjack|Hog Rider|Cannon Cart|Musketeer|Royal Delivery|Sparky|Skeleton Barrel,4.0,4575,3,Bomb Tower|Sparky|X-Bow|Royal Delivery|Mega Minion|Minion Horde|Ice Wizard|Bandit,4.12,6028,0,player_1,106,Tournament,1453,3,Heavy Mismatch
62,Tombstone|Tornado|Ram Rider|Rocket|Electro Wizard|PEKKA|Royal Hogs|Lava Hound,5.0,6687,1,Night Witch|Battle Healer|Goblin Barrel|Balloon|Tombstone|Earthquake|Goblins|Fireball,3.5,5948,1,draw,197,Tournament,739,2,Heavy Mismatch
63,Electro Wizard|Cannon Cart|Royal Recruits|Phoenix|Goblin Barrel|Ice Wizard|Tornado|Inferno Dragon,4.12,6617,3,Tornado|Prince|Elixir Collector|Cannon Cart|Executioner|Bandit|Bomb Tower|Mirror,4.0,2395,3,draw,192,Ladder,4222,6,Heavy Mismatch
64,Lumberjack|Inferno Dragon|Sparky|Little Prince|Flying Machine|Monk|Battle Healer|Cannon Cart,4.33,4578,2,Electro Wizard|Mother Witch|Bowler|Prince|Elixir Collector|Heal Spirit|Fireball|Miner,4.0,2658,1,player_1,91,Friendly,1920,3,Heavy Mismatch
65,Miner|Giant Skeleton|Goblin Cage|Ice Golem|Three Musketeers|Mortar|Zappies|Royal Hogs,4.62,3807,0,Bowler|Wizard|Princess|The Log|Zappies|Fire Spirit|Royal Ghost|Elixir Golem,3.38,4836,3,player_2,270,Friendly,1029,3,Heavy Mismatch
66,Sparky|Magic Archer|Inferno Tower|Poison|Giant|Valkyrie|Earthquake|Barbarians,4.5,4624,3,Skeleton King|Cannon Cart|Hunter|Royal Hogs|PEKKA|Giant|Princess|Dark Prince,4.62,2264,3,draw,291,Challenge,2360,6,Heavy Mismatch
67,Balloon|Spear Goblins|Flying Machine|The Log|Royal Delivery|Earthquake|Minion Horde|Firecracker,3.44,2910,1,Night Witch|Baby Dragon|Mega Minion|Mini PEKKA|Goblin Hut|Bomber|Goblins|Hog Rider,3.62,3270,2,player_2,85,Friendly,360,3,Slight Mismatch
68,Bandit|Clone|Goblins|Night Witch|Princess|Musketeer|Skeleton Army|Mega Knight,3.62,3480,3,Monk|Sparky|Giant Skeleton|Royal Ghost|Wall Breakers|Phoenix|Dark Prince|Skeleton Army,4.12,5760,3,draw,145,Friendly,2280,6,Heavy Mismatch
69,Fire Spirit|Bomb Tower|Flying Machine|Minions|Royal Champion|The Log|Zap|Goblin Gang,3.44,3785,3,Battle Ram|Hog Rider|Miner|The Log|Zappies|Royal Hogs|Inferno Tower|Monk,4.0,2605,1,player_1,76,Ladder,1180,4,Heavy Mismatch
70,Zappies|Little Prince|Princess|Archers|Skeleton Army|Bomb Tower|Earthquake|Miner,3.25,2442,0,Mortar|Wizard|Minion Horde|Tornado|Heal Spirit|PEKKA|Firecracker|Royal Recruits,4.38,6565,2,player_2,69,Tournament,4123,2,Heavy Mismatch
71,Little Prince|Inferno Tower|Ice Wizard|Lightning|Prince|Goblin Barrel|Royal Giant|Skeleton King,4.38,3461,2,Mighty Miner|Goblin Cage|Lumberjack|Royal Recruits|Archers|Cannon Cart|Freeze|Zap,4.12,2557,3,player_2,196,Friendly,904,5,Heavy Mismatch
72,Earthquake|Rascals|Archer Queen|Cannon Cart|Bomb Tower|Princess|Three Musketeers|Minions,4.62,6943,3,Mother Witch|Cannon|Poison|Rascals|Night Witch|Heal Spirit|Cannon Cart|Graveyard,3.88,6504,2,player_1,183,Friendly,439,5,Slight Mismatch
73,Hog Rider|Dark Prince|Arrows|Skeleton Barrel|Royal Ghost|Earthquake|Lightning|Cannon Cart,3.88,5159,1,Graveyard|Little Prince|Night Witch|Dark Prince|Firecracker|Valkyrie|Bandit|Archers,3.62,4807,1,draw,67,Ladder,352,2,Slight Mismatch
74,Royal Ghost|Goblin Cage|Mortar|Hunter|Fire Spirit|Flying Machine|Clone|Knight,3.44,4467,3,Goblin Hut|Goblin Gang|Heal Spirit|Flying Machine|Little Prince|Inferno Tower|Battle Ram|Elixir Collector,3.89,2123,3,draw,215,Friendly,2344,6,Heavy Mismatch
75,Ice Wizard|Mega Minion|Bandit|Goblin Gang|Prince|Mortar|Dark Prince|Wizard,3.75,4270,1,Mother Witch|Baby Dragon|Mirror|Freeze|Flying Machine|Goblin Hut|Fireball|Knight,3.67,5792,2,player_2,93,Friendly,1522,3,Heavy Mismatch
76,Hog Rider|Spear Goblins|Rocket|Mega Knight|Zappies|Skeletons|Bomb Tower|Bomber,3.88,6942,1,Ice Wizard|Wall Breakers|Mega Knight|Graveyard|Mirror|Ice Golem|Firecracker|Skeleton Barrel,3.25,4298,1,draw,88,Ladder,2644,2,Heavy Mismatch
77,Musketeer|Clone|Inferno Dragon|Poison|Barbarians|Mirror|Rocket|Bandit,3.75,2557,2,Rascals|Prince|Flying Machine|Mirror|Clone|Baby Dragon|Valkyrie|Three Musketeers,4.33,3976,2,draw,252,Challenge,1419,4,Heavy Mismatch
78,Goblin Gang|Elite Barbarians|Firecracker|Skeletons|Electro Wizard|Bandit|Lava Hound|Magic Archer,3.88,2251,0,Flying Machine|Princess|Rascals|Ice Spirit|Goblins|Archer Queen|Inferno Dragon|Skeletons,3.22,4599,0,draw,196,Challenge,2348,0,Heavy Mismatch
79,Heal Spirit|Knight|Bowler|Wall Breakers|Battle Ram|Skeleton King|Skeleton Barrel|Little Prince,3.12,3591,0,Mortar|Zap|Dark Prince|Mini PEKKA|Earthquake|Phoenix|Hunter|Giant Skeleton,3.88,3909,2,player_2,171,Friendly,318,2,Slight Mismatch
80,Goblinstein|Mortar|Royal Recruits|Inferno Tower|Royal Giant|Night Witch|Skeleton Barrel|Little Prince,4.62,3810,0,Freeze|Mother Witch|Valkyrie|Barbarians|PEKKA|Royal Giant|Prince|Cannon Cart,5.0,4642,3,player_2,259,Friendly,832,3,Heavy Mismatch
81,Goblins|Dark Prince|Tombstone|Ram Rider|Ice Golem|Bowler|Fisherman|Lumberjack,3.5,3502,3,Witch|Clone|Inferno Dragon|Barbarians|Balloon|Mother Witch|Lumberjack|Royal Recruits,4.62,4674,0,player_1,100,Tournament,1172,3,Heavy Mismatch
82,Freeze|Skeleton Barrel|Sparky|Graveyard|Archer Queen|Inferno Tower|Rascals|Fire Spirit,4.38,3679,3,Hunter|Fireball|Three Musketeers|Musketeer|Clone|Witch|Mini PEKKA|PEKKA,5.0,4820,3,draw,70,Friendly,1141,6,Heavy Mismatch
83,Monk|Lava Hound|Bandit|Ram Rider|Mighty Miner|Clone|Zappies|Lightning,4.62,3994,2,Mega Knight|Lightning|Wall Breakers|Phoenix|Bomber|Cannon|Skeleton Army|Valkyrie,4.0,3371,1,player_1,248,Tournament,623,3,Heavy Mismatch
84,Fire Spirit|Poison|Graveyard|Minion Horde|Royal Recruits|Balloon|Valkyrie|Wall Breakers,4.25,3545,2,Wizard|Giant Skeleton|Lightning|Bomb Tower|Barbarians|Inferno Dragon|Royal Recruits|Night Witch,5.12,4807,1,player_1,280,Challenge,1262,3,Heavy Mismatch
85,Battle Healer|Skeleton Barrel|Royal Champion|Fireball|Miner|Lightning|Monk|Executioner,4.62,3987,0,Skeleton Barrel|Furnace|Miner|Royal Ghost|Musketeer|Skeleton Army|Tesla|Hog Rider,3.5,6607,3,player_2,148,Friendly,2620,3,Heavy Mismatch
86,Phoenix|Mortar|Ice Wizard|Mega Knight|PEKKA|Night Witch|Electro Wizard|Zappies,4.62,3281,0,Skeletons|Elixir Collector|Wizard|Wall Breakers|Dark Prince|Ice Wizard|Giant|Ram Rider,3.88,6389,3,player_2,167,Friendly,3108,3,Heavy Mismatch
87,Goblin Hut|Arrows|Giant|Lumberjack|Bomb Tower|Ice Golem|Mega Minion|Minions,3.62,5232,0,Bomb Tower|Mirror|Skeleton Army|Archer Queen|Miner|Sparky|Hog Rider|Elixir Collector,4.0,4035,1,player_2,81,Ladder,1197,1,Heavy Mismatch
88,Spear Goblins|Archer Queen|Baby Dragon|Clone|Wall Breakers|Prince|Royal Ghost|Rocket,3.75,4371,1,Flying Machine|Rascals|Fire Spirit|Minions|Spear Goblins|Battle Healer|PEKKA|Cannon,3.78,4079,1,draw,251,Friendly,292,2,Slight Mismatch
89,Flying Machine|Royal Giant|Little Prince|Freeze|Ice Wizard|Lumberjack|Wall Breakers|Bomb Tower,3.78,4317,3,Baby Dragon|Inferno Dragon|Furnace|Dark Prince|X-Bow|Bomb Tower|Barbarians|Spear Goblins,4.12,6182,2,player_1,182,Challenge,1865,5,Heavy Mismatch
90,Cannon Cart|Spear Goblins|Night Witch|Valkyrie|Battle Healer|Balloon|Bandit|Heal Spirit,3.5,6051,0,Hunter|Dark Prince|Flying Machine|Valkyrie|Furnace|Royal Hogs|Little Prince|Mirror,3.67,2918,3,player_2,229,Friendly,3133,3,Heavy Mismatch
91,Valkyrie|Mega Minion|Dark Prince|Inferno Dragon|Baby Dragon|Goblin Barrel|Zap|Royal Recruits,3.88,3351,3,PEKKA|Mega Knight|Miner|Giant|Goblin Hut|Valkyrie|Inferno Dragon|Mighty Miner,4.88,3590,3,draw,249,Tournament,239,6,Slight Mismatch
92,Mega Minion|Mighty Miner|Goblin Gang|Elixir Golem|Royal Delivery|Mirror|Royal Ghost|Flying Machine,3.11,2488,2,Ice Wizard|Prince|Mortar|Magic Archer|Electro Wizard|Mega Knight|Goblin Cage|Lava Hound,4.75,5260,2,draw,89,Friendly,2772,4,Heavy Mismatch
93,Electro Wizard|Rocket|Goblin Gang|Lightning|Hunter|Princess|Bomber|Night Witch,4.12,5040,1,Mighty Miner|Hog Rider|Battle Healer|Sparky|Flying Machine|Magic Archer|Archer Queen|Bomber,4.22,6884,0,player_1,183,Tournament,1844,1,Heavy Mismatch
